Title,Link,Views,Top Answer
Why is gold golden?,https://chemistry.stackexchange.com/questions/16633/why-is-gold-golden,41k,"Yes, this is a beautiful question.
As you said, in lower rows of the periodic table, there are relativistic effects for the electrons. That is, for core electrons in gold, the electrons are traveling at a significant fraction of the speed of light (e.g., ~58% for $\ce{Au}$ $\mathrm{1s}$ electrons). This contracts the Bohr radius of the $\mathrm{1s}$ electrons by ~22%. Source: Wikipedia
This also contracts the size of other orbitals, including the $\mathrm{6s}$.
The absorption you see is a $\mathrm{5d \rightarrow 6s}$ transition. For the silver $\mathrm{4d \rightarrow 5s}$ transition, the absorption is in the UV region, but the contraction gives gold a blue absorption (i.e. less blue is reflected). Our eyes thus see a yellow color reflected.
There's a very readable article by Pekka Pyykkö and Jean Paul Desclaux that goes into more detail (if you subscribe to ACS Acc. Chem.Res.)"
Why can we smell copper?,https://chemistry.stackexchange.com/questions/7916/why-can-we-smell-copper,73k,"This is a nice question, as it confronts a very replicable and common experience with a well established yet seemingly contradictory fact. As you expected, the smell of metal has nothing to do with the metal actually getting into your nose, as most metals have far too low of a vapor pressure at ordinary temperatures to allow direct detection. The characteristic smell of metal, in fact, is caused by organic substances!
There has been the focus on the specific case of the smell of iron (free-access article!). There are at least two ways in which iron produces a metallic smell. Firstly, acidic substances are capable of corroding iron and steel, releasing phosphorus and carbon atoms present in the metal or alloy. These can react to form volatile organophosphorus compounds such as methylphosphine ($\ce{H3CPH2}$ which have a garlic/metallic odor at small concentrations. From the article:

The “garlic” metallic odor (see Supporting Information) of the gas product from the acidic dissolution of cast iron is dominated by these organophosphines. We measured an extremely low odor threshold for two key odorants, methylphosphine and dimethylphosphine (6 and 3 ng P/m³, respectively, garlic-metallic odor), which belong therefore to the most potent odorants known. Phosphine ($\ce{PH3}$) is not important for this odor because we found it has a much higher odor detection threshold (>10⁶ ng/m³). A “calcium carbide” (or “burned lime”/“cement”) attribute of the general “garlic” odor is probably caused by unsaturated hydrocarbons (alkynes, alkadienes) that are linked to a high carbon content of iron (Table 1, see Supporting Information).

Also, it turns out that $\ce{Fe^{2+}}$ ions (but not $\ce{Fe^{3+}}$) are capable of oxidizing substances present in oils produced by the skin, namely lipid peroxides. A small amount of $\ce{Fe^{2+}}$ ions are produced when iron comes into contact with acids in sweat. These then decompose the oils releasing a mixture of ketones and aldehydes with carbon chains between 6 and 10 atoms long. In particular, most of the smell of metal comes from the unsaturated ketone 1-octen-3-one, which has a fungal/metallic odour even in concentrations as low as $1\ \mu g\ m^{-3}$ . In short:

Sweaty skin corrodes iron metal to form reactive $\ce{Fe^{2+}}$ ions that are oxidized within seconds to $\ce{Fe^{3+}}$ ions while simultaneously reducing and decomposing existing skin lipid peroxides to odorous carbonyl hydrocarbons that are perceived as a metallic odor.

In the supporting information for the article (also free-access), the authors describe experiments performed with other metals, including copper:

Comparison of iron metal with other metals (copper, brass, zinc, etc.): When solid copper metal or brass (copper-zinc alloy) was contacted with the skin instead of iron, a similar metallic odor and GC-peak pattern of carbonyl hydrocarbons was produced and up to one μmole/dm² of monovalent cuprous ion [$\ce{Cu+}$] was detected as a corrosion product (Supporting Figs. S3 to S6). Zinc, a metal that forms $\ce{Zn^{2+}}$ but no stable $\ce{Zn+}$, was hesitant to form metallic odor, except on very strong rubbing of the metal versus skin (that could produce metastable monovalent $\ce{Zn+}$). The use of common color-tests to demonstrate directly on human palm skin the presence of low-valence ions (ferrous and cuprous) from the corrosion of iron, copper and brass alloys is shown in Supporting Figure S6. Alumina powder rubbed on skin did not produce significant odorants. These results provide additional evidence that it is not metal evaporation, but skin lipid peroxide reduction and decomposition by low valence metal ions that produces the odorants.

The last paragraphs of the article summarize the findings:

In conclusion: 1) The typical “musty” metallic odor of iron metal touching skin (epidermis) is caused by volatile carbonyl compounds (aldehydes, ketones) produced through
the reaction of skin peroxides with ferrous ions ($\ce{Fe^{2+}}$) that are formed in the sweat-mediated corrosion of iron. $\ce{Fe^{2+}}$ ion containing metal surfaces, rust, drinking water, blood etc., but also copper and brass, give rise to a similar odor on contact with the skin. The human ability to detect this odor is probably a result of the evolutionarily developed but largely dormant ability to smell blood (“blood scent”).



The “garlic-carbide” metallic odor of phosphorus- and carbon-rich cast iron and steel under attack by acid, is dominated by volatile organophosphines. Corroding cast iron
is an environmental source of C–P compounds that may lead to confusion in the verification and monitoring of the Chemical Weapons Convention (see also ref. [15])


As an aside, this may be why sometimes people recommend getting strong smells off your hands by rubbing them against a metal object. While it probably doesn't work for some metals and for some smelly compounds, it's possible that the metal catalyzes the decomposition of the malodorous substances into less strongly smelling ones.
You can read a little more in this press article on the study."
Why doesn't water burn?,https://chemistry.stackexchange.com/questions/64362/why-doesnt-water-burn,53k,"You can think of water as the ash from burning hydrogen: it's already given off as much energy as possible from reacting hydrogen with oxygen.
You can, however, still burn it.  You just need an even stronger oxidizer than oxygen.  There aren't many of them, but fluorine will work, 
$$
\ce{2F2 + 2H2O -> 4HF + O2}
$$
as will chlorine trifluoride:
$$
\ce{ClF3 + 2H2O -> 3HF + HCl + O2}
$$"
Is a negative pH level physically possible?,https://chemistry.stackexchange.com/questions/5737/is-a-negative-ph-level-physically-possible,86k,"One publication for you: “Negative pH Does Exist”, K. F. Lim, J. Chem. Educ. 2006, 83, 1465. Quoting the abstract in full:

The misconception that pH lies between 0 and 14 has been perpetuated in popular-science books, textbooks, revision guides, and reference books.

The article text provides some counterexamples:

For example, commercially available concentrated HCl solution (37% by mass) has $\mathrm{pH} \approx -1.1$, while saturated NaOH solution has $\mathrm{pH} \approx 15.0$."
Why is absolute zero unattainable?,https://chemistry.stackexchange.com/questions/60860/why-is-absolute-zero-unattainable,32k,"There was a story in my days about a physical chemist who was asked to explain some effect, illustrated by a poster on the wall. He did that, after which someone noticed that the poster was hanging upside down, so the effect appeared reversed in sign. Undaunted, the guy immediately explained it the other way around, just as convincingly as he did the first time.
Cooking up explanations on the spot is a respectable sport, but your teacher went a bit too far. What's with that Charles' law? See, it is a gas law; it is about gases. And even then it is but an approximation. To make it exact, you have to make your gas ideal, which can't be done. As you lower the temperature, all gases become less and less ideal. And then they condense, and we're left to deal with liquids and solids, to which the said law never applied, not even as a very poor approximation. Appealing to this law when we are near the absolute zero is about as sensible as ruling out certain reaction mechanism on the grounds that it requires atoms to move faster than allowed by the road speed limit in the state of Hawaii.
The energy argument is even more ridiculous. We don't have to remove all energy, but only the kinetic energy. The $E=mc^2$ part remains there, so the mass is never going anywhere.
All that being said, there is no physical law forbidding the existence of matter at absolute zero. It's not like its existence will cause the world to go down with error 500. It's just that the closer you get to it, the more effort it takes, like with other ideal things (ideal vacuum, ideally pure compound, crystal without defects, etc). If anything, we're doing a pretty decent job at it. Using sophisticated techniques like laser cooling or magnetic evaporative cooling, we've long surpassed the nature's record in coldness."
How do you melt metals with super high melting points?,https://chemistry.stackexchange.com/questions/16640/how-do-you-melt-metals-with-super-high-melting-points,87k,"Tungsten's melting point of 3422 °C is the highest of all metals and second only to carbon's, for which melting occurs only at high pressure (there's no standard melting point). This is why tungsten is used in rocket nozzles and reactor linings.  There are refractory ceramics and alloys that have higher melting points, notably $\ce{Ta4HfC5}$ with a melting point of 4215 °C, hafnium carbide at 3900 °C and tantalum carbide at 3800 °C.
Carbon cannot be used to hold molten tungsten because they will react to form tungsten carbide.  Sometimes ladles and crucibles used to prepare or transport high melting point materials like tungsten are lined with the various higher melting ceramics or alloys.  More typically tungsten and other refractory materials are fabricated in a non-molten state.  A process known as powder metallurgy is used.  This process uses 4 basic steps:

powder manufacture - a variety of techniques are available to generate small particles of the material being worked
powder blending - routine procedures are used to blend the constituent particles into a uniform mixture
compacting - the blended powder is placed in a mold and subjected to high pressure
sintering - the compacted material is subjected to high temperature and some level of bonding occurs between particles."
What is Bent's rule?,https://chemistry.stackexchange.com/questions/15620/what-is-bents-rule,38k,"That's a good, concise statement of Bent's rule.  Of course we could have just as correctly said that p character tends to concentrate in orbitals directed at electronegative elements. We'll use this latter phrasing when we examine methyl fluoride below. But first, let's expand on the definition a bit so that it is clear to all.
Bent's rule speaks to the hybridization of the central atom ($\ce{A}$) in the molecule $\ce{X-A-Y}$. 
$\ce{A}$ provides hybridized atomic orbitals that form $\ce{A}$'s part of its bond to $\ce{X}$ and to $\ce{Y}$.  Bent's rule says that as we change the electronegativity of $\ce{X}$ and \ or $\ce{Y}$, $\ce{A}$ will tend to rehybridize its orbitals such that more s character will placed in those orbitals directed towards the more electropositive substituent.
Let's examine how Bent's rule might be applied to your example of methyl fluoride.  In the $\ce{C-F}$ bond, the carbon hybrid orbital is directed towards the electronegative fluorine.  Bent's rule suggests that this carbon hybrid orbital will be richer in p character than we might otherwise have suspected.  Instead of the carbon hybrid orbital used in this bond being $\ce{sp^3}$ hybridized it will tend to have more p character and therefore move towards $\ce{sp^4}$ hybridization.
Why is this?  s orbitals are lower in energy than p orbitals.  Therefore electrons are more stable (lower energy) when they are in orbitals with more s character.  The two electrons in the $\ce{C-F}$ bond will spend more time around the electronegative fluorine and less time around carbon.  If that's the case (and it is), why ""waste"" precious, low-energy, s orbital character in a carbon hybrid orbital that doesn't have much electron density to stabilize.  Instead, save that s character for use in carbon hybrid orbitals that do have more electron density around carbon (like the $\ce{C-H}$ bonds).  So as a consequence of Bent's rule, we would expect more p character in the carbon hybrid orbital used to form the $\ce{C-F}$ bond, and more s-character in the carbon hybrid orbitals used to form the $\ce{C-H}$ bonds.  
The physically observable result of all this is that we would expect an $\ce{H-C-H}$ angle larger than the tetrahedral angle of 109.5° (reflective of more s character) and an $\ce{H-C-F}$ angle slightly smaller than 109.5°  (reflective of more p character).  In terms of bond lengths, we would expect a shortening of the $\ce{C-H}$ bond (more s character) and a lengthening of the $\ce{C-F}$ bond (more p character)."
Is toothpaste solid or liquid?,https://chemistry.stackexchange.com/questions/23899/is-toothpaste-solid-or-liquid,68k,"Toothpaste is what is called a non-newtonian fluid, more specifically toothpaste is a Bingham plastic.  This means that the viscosity of the fluid is linearly dependent on the shear stress, but with an offset called the yield stress (see figure below). This yield stress is what makes it hard to say whether it is liquid or solid. The fact that toothpaste is viscous alone is not sufficient to explain this, because water is also viscous, but doesn't behave like a solid (unless frozen, but that's another phenomenon).

What the yield stress does is the following. Below a certain shear threshold the fluid responds as if it were a solid, as you can see happening when you have put toothpaste on your toothbrush, it just sits there without flowing away. A highly viscous but newtonian fluid would flow away (although slowly as pointed out by @ron in his comment to the answer of @freddy).
Now if you put sufficient shear stress on the toothpaste, when you squeeze the tube of paste, it will start flowing and respond as a liquid.
Other examples, as mentioned in the Wikipedia link in my first sentence, are e.g. mayonnaise and mustard. Another example is silly putty."
Is it true that heavy water is not blue?,https://chemistry.stackexchange.com/questions/71894/is-it-true-that-heavy-water-is-not-blue,20k,"Based on your description, I may have found the article you originally saw, or at least one very similar.
Researchers from Dartmouth College published a paper$\mathrm{^1}$ in which they report, among other things, the results of viewing sunlit white paper through two 3 meter lengths of plexiglass; one filled with $\ce{H2O}$ and one with $\ce{D2O}$. Sure enough, because of the lower frequency of the maximum absorption of $\ce{D2O}$ in the red to near IR wavelengths, the blue color that is characteristic of $\ce{H2O}$ is far less pronounced in $\ce{D2O}$. This website is based on the published paper and additionally shows a photograph of the blue colored $\ce{H2O}$ on the left with the far less colored $\ce{D2O}$ on the right:


""Why is Water Blue"", Charles L. Braun and Sergei N. Smirnov, J. Chem. Edu., 1993, 70(8), 612"
Do all salts taste salty?,https://chemistry.stackexchange.com/questions/19631/do-all-salts-taste-salty,27k,"No. There are sweet, bitter, and various other salts. (Likely, there are tasteless salts too). Pure salty taste is as far as I know exclusive for table salt, though I wouldn't bet on it.
Lead and Beryllium salts are said to be sweet, though toxic. Epsom salt, $\ce{MgSO4}$, is bitter. $\ce{CuSO4}$ has an incomprehensible, persistent metallic taste. (Based on personal experience. Copper salts are slightly toxic, but not extremely, so I survived with no consequences.)
Salts with hydrolysing cation (various alums) are acidic in addition to other notes."
